,Title,Company,Work_Environment,Job_Description,When_Posted,Pay,City,State,Rating
0,Software Developer - AI Trainer (Contract),DataAnnotation,,"You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.",Active 12 days ag,83200.0,,CA,4.5
1,Data Engineer,LegalMation,Hybrid,"Experience with cloud technologies, NLP, and modern data science libraries.",Active 4 days ag,80000.0,   Los Angeles,CA,3.5
2,Associate Data Analyst - Hybrid Remote,CEDARS-SINAI,Hybrid,Uses data quality tools to proactively identify data integrity issues.,Posted 4 days ago·,,   Los Angeles,CA,
3,Data Analyst,UCLA,,Understanding of relational databases and mastery of data analysis and data.,Posted 30+ days ago·,14583.0,Los Angeles,CA,
4,Data Science Junior Instructor (Los Angeles),The Knowledge House,,Familiarity working with JSON data.,Posted 19 days ago·,68640.0,Los Angeles,CA,3.5
5,Data Scientist,"Pasadena, CA",,Identify data patterns and trends.,Posted 30+ days ago·,100000.0,Pasadena,CA,
6,Senior Clinical Data Analyst,Providence,,"The Radiation Oncology Systems Program Manager provides continuous technical and application support/analysis for various Radiation Oncology systems, workflows,…",Posted 5 days ago·,143166.4,Burbank,CA,
7,Research Data Scientist,CEDARS-SINAI,,Creates sustainable data science infrastructure and adheres to data analysis/machine learning best practices.,Posted 19 days ago·,,Los Angeles,CA,
8,DATA SCIENTIST,US Department of the Air Force - Agency Wide,,"Degree: Mathematics, statistics, computer science, data science or field directly related to the position.",Posted 30+ days ago·,,Los Angeles,CA,
9,"Application Software Engineer, Data",SpaceX,,"Experience in full stack development, software engineering, data engineering, or data science.",Posted 26 days ago·,,Hawthorne,CA,
10,"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,,"Implement data driven, risk-based solutions and policies to mitigate fraud and chargebacks.",Posted 15 days ago·,145000.0,Hawthorne,CA,
11,Data Scientist,Triunity Software,,"MS or PhD in computer science, data science, statistics, math, or related quantitative field.",Posted 5 days ago·,160000.0,Los Angeles,CA,
12,SENIOR DATA SCIENTIST,Los Angeles County Department of Human Resources,,"Incumbents coordinate and contribute to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",Posted 4 days ago·,155836.31,Los Angeles County,CA,
13,"Data Scientist, Product Analytics - Trust & Safety",TikTok,,"Previous experience in data science, data analytics, or product analytics at a consumer technology company.",Posted 12 days ago·,228000.0,Los Angeles,CA,
14,"Data Scientist, 3+ Years of Experience",Snapchat,,3+ years of experience in quantitative analysis & data science or a related field.,Posted 30+ days ago·,194000.0,Los Angeles,CA,
15,Data Engineer (L4) - Content Knowledge Graph,Netflix,,Obsessed data quality: build reliable and trustworthy web-scale data products.,Posted 30+ days ago·,,Los Angeles,CA,
16,Data Scientist,goop,,Advanced level experience with relational databases (SQL) and unstructured & semi-structured data.,Posted 30+ days ago·,,Santa Monica,CA,
17,Data Analyst - Product & Marketing (REMOTE),The League,Remote,"Own data analysis and visualization, and communicate the outcomes/insights to various partners (marketing, data, product, eng) to aid strategic decisions for…",Posted 30+ days ago·,,  Los Angeles,CA,
18,Data Scientist,Exponent Inc.,,The desire to work with a diverse set of clients and engage in work outside of the traditional data science field.,Posted 30+ days ago·,,Los Angeles,CA,
19,"Marketing Data Scientist, Reality Labs",Oculus,,5+ years experience in the data science field at a tech company with large data sets.,Posted 19 days ago·,204000.0,Los Angeles,CA,
20,"Analyst, Content Performance Analytics (Disney Entertainment)",Disney,,Expertise in data exploration and data science.,Posted 30+ days ago·,93800.0,Los Angeles,CA,
21,Associate Software Engineer,BOEING,,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 4 days ago·,123050.0,El Segundo,CA,
22,"Analyst, Data Management & Reporting","Sony Pictures Entertainment, Inc.",,"Excellent data manipulation, data cleaning and data visualization skills for summarizing large data sets to help facilitate decision making and strategic…",Posted 30+ days ago·,,Culver City,CA,
23,Pricing and Valuations Analyst (Remote),Manufacturers Bank,Remote,"Partner with data science team to explore innovative approaches, tools, and data sources to support improvements to the pricing strategies.",Posted 30+ days ago·,,  Los Angeles,CA,
24,Business Intelligence Analyst - USDS,TikTok,Hybrid,"Experience in data science programming languages (e.g., Python, R).",Posted 30+ days ago·,168888.0,   Los Angeles,CA,
25,Analytics Engineer (L5) - Content DSE,Netflix,,Proven track record in transforming large amounts of complex data into insights by leading the end-to-end creation of intuitive data products.,Posted 30+ days ago·,,Los Angeles,CA,
26,Data Engineer (W2),ProIT Inc.,,Working on building /optimizing logical data model and data pipelines while delivering high data quality solutions that are testable and adhere to SLAs.,Active 4 days ago·,,Culver City,CA,
27,Statistician,UCLA,,"Advanced knowledge of data collection design, for qualitative and/or quantitative methodologies.",Posted 25 days ago·,14583.0,Los Angeles,CA,
28,Jr. ML Engineer,BallerTV,,This is a junior-level role focusing on machine-learning projects related to sports and video processing.,Posted 30+ days ago·,,Pasadena,CA,
29,Responsible AI Risk Assessment and Measurement (Lead/Senior Manager) - X Delivery,Boston Consulting Group,,"5-12+ years of experience in a technical environment, including data science, engineering, or technical program/product management.",Posted 5 days ag,,,CA,4.2
30,Product Data Analyst (Gaming),TapBlaze,,"POSITION SUMMARY TapBlaze is looking for an ambitious, innovative product data analyst to help us drive the roadmap of our hit game, Good Pizza, Great Pizza.…",Posted 30+ days ago·,,Los Angeles,CA,
31,Data Scientist,Link Network,,A global insurance company is looking for an individual with a background in statistics and machine learning to join their dynamic Data Science team. The…,Active 4 days ago·,,Torrance,CA,
32,"Manager, Content Data Engineering",Netflix,,"Los Angeles, California Data Science and Engineering Who are we? Netflix is the world's leading internet entertainment service with over 260+ million…",Posted 30+ days ago·,,Los Angeles,CA,
33,Business Intelligence Analyst,Paramount+,,"About Us: Paramount Streaming is a division of Paramount that encompasses both free, paid, and premium streaming services including Paramount+, Pluto TV, CBS…",Posted 16 days ago·,,Los Angeles,CA,
34,Data Scientist,Hadrian,,"Hadrian — Manufacturing the Future Hadrian is building autonomous factories that help aerospace and defense companies make rockets, jets, and satellites 10x…",Posted 27 days ago·,,Los Angeles,CA,
35,Data Scientist,Fabletics,Hybrid,Job Description TechStyleOS is looking for a Data Scientist to join our Marketing Science & Analytics team. How Do You Fit In? TechStyleOS is the operating…,Posted 30+ days ago·,,   El Segundo,CA,
